cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
Workers,"Class of Worker","Government workers",45003,"(+/- 2945 )",32146,"(+/- 3015 )",32642,"(+/- 3224 )",43095,"(+/- 2644 )",27422,"(+/- 2653 )",36726,"(+/- 2938 )",43204,"(+/- 3253 )",55120,"(+/- 3272 )",31404,"(+/- 3339 )",36052,"(+/- 3281 )",34187,"(+/- 2518 )",52602,"(+/- 3656 )",25514,"(+/- 3197 )",29214,"(+/- 2968 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19354,"(+/- 1691 )",15808,"(+/- 1742 )",20677,"(+/- 2268 )",17442,"(+/- 1570 )",16435,"(+/- 2326 )",18665,"(+/- 2037 )",17449,"(+/- 2066 )",15750,"(+/- 2080 )",15342,"(+/- 1830 )",17676,"(+/- 2070 )",16964,"(+/- 1858 )",12916,"(+/- 1769 )",11178,"(+/- 2058 )",11856,"(+/- 2311 )"
Workers,"Class of Worker","Unpaid family workers",1079,"(+/- 433 )",684,"(+/- 355 )",1016,"(+/- 643 )",1861,"(+/- 927 )",640,"(+/- 404 )",440,"(+/- 196 )",707,"(+/- 329 )",482,"(+/- 309 )",384,"(+/- 254 )",538,"(+/- 229 )",638,"(+/- 372 )",669,"(+/- 300 )",641,"(+/- 452 )",255,"(+/- 188 )"
Housing,"Housing Occupancy","Total housing units",453433,"(+/- 1270 )",324672,"(+/- 2779 )",308723,"(+/- 2951 )",352752,"(+/- 1762 )",331980,"(+/- 2013 )",333415,"(+/- 1105 )",310670,"(+/- 2106 )",305376,"(+/- 2962 )",324929,"(+/- 4311 )",318805,"(+/- 3174 )",309782,"(+/- 4500 )",298737,"(+/- 5324 )",328504,"(+/- 5645 )",327827,"(+/- 5743 )"
Housing,"Housing Occupancy","Occupied housing units",298748,"(+/- 4442 )",280717,"(+/- 3956 )",283800,"(+/- 3506 )",272535,"(+/- 2962 )",284841,"(+/- 3584 )",283902,"(+/- 3503 )",280096,"(+/- 3300 )",284819,"(+/- 3381 )",304748,"(+/- 3764 )",287019,"(+/- 4059 )",292059,"(+/- 4264 )",277907,"(+/- 4957 )",264757,"(+/- 5270 )",273932,"(+/- 5135 )"
Housing,"Housing Occupancy","Vacant housing units",154685,"(+/- 4550 )",43955,"(+/- 3407 )",24923,"(+/- 3034 )",80217,"(+/- 2831 )",47139,"(+/- 3010 )",49513,"(+/- 3456 )",30574,"(+/- 2605 )",20557,"(+/- 2605 )",20181,"(+/- 3118 )",31786,"(+/- 2646 )",17723,"(+/- 2880 )",20830,"(+/- 3103 )",63747,"(+/- 3518 )",53895,"(+/- 3556 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.9,"(+/- 0.4 )",0.3,"(+/- 0.2 )",0.7,"(+/- 0.3 )",2.0,"(+/- 0.5 )",1.4,"(+/- 0.4 )",1.3,"(+/- 0.5 )",1.2,"(+/- 0.4 )",1.4,"(+/- 0.5 )",1.0,"(+/- 0.4 )",1.1,"(+/- 0.5 )",0.8,"(+/- 0.4 )",1.2,"(+/- 0.4 )",4.4,"(+/- 0.8 )",2.2,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.7,"(+/- 1.5 )",4.0,"(+/- 1.6 )",5.9,"(+/- 1.8 )",9.8,"(+/- 1.9 )",6.6,"(+/- 1.5 )",6.3,"(+/- 1.7 )",3.6,"(+/- 1.3 )",6.4,"(+/- 1.6 )",5.8,"(+/- 1.9 )",3.5,"(+/- 1.4 )",6.1,"(+/- 1.9 )",5.3,"(+/- 1.3 )",3.5,"(+/- 0.9 )",6.1,"(+/- 1.1 )"
Housing,"Housing Tenure","Occupied housing units",298748,"(+/- 4442 )",280717,"(+/- 3956 )",283800,"(+/- 3506 )",272535,"(+/- 2962 )",284841,"(+/- 3584 )",283902,"(+/- 3503 )",280096,"(+/- 3300 )",284819,"(+/- 3381 )",304748,"(+/- 3764 )",287019,"(+/- 4059 )",292059,"(+/- 4264 )",277907,"(+/- 4957 )",264757,"(+/- 5270 )",273932,"(+/- 5135 )"
Housing,"Housing Tenure",Owner-occupied,233016,"(+/- 4142 )",205396,"(+/- 4054 )",210760,"(+/- 3841 )",216064,"(+/- 3238 )",201410,"(+/- 4066 )",202423,"(+/- 3521 )",213081,"(+/- 3523 )",211385,"(+/- 4211 )",213566,"(+/- 4372 )",232896,"(+/- 4710 )",225948,"(+/- 4171 )",181673,"(+/- 4692 )",141920,"(+/- 4754 )",151657,"(+/- 4775 )"
Housing,"Housing Tenure",Renter-occupied,65732,"(+/- 2878 )",75321,"(+/- 3456 )",73040,"(+/- 3080 )",56471,"(+/- 2622 )",83431,"(+/- 4157 )",81479,"(+/- 3647 )",67015,"(+/- 3412 )",73434,"(+/- 3293 )",91182,"(+/- 3966 )",54123,"(+/- 3609 )",66111,"(+/- 3412 )",96234,"(+/- 4465 )",122837,"(+/- 5234 )",122275,"(+/- 4535 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.34,"(+/- 0.03 )",2.70,"(+/- 0.04 )",2.69,"(+/- 0.04 )",2.52,"(+/- 0.03 )",2.37,"(+/- 0.04 )",2.61,"(+/- 0.04 )",2.55,"(+/- 0.04 )",2.62,"(+/- 0.04 )",2.44,"(+/- 0.03 )",2.56,"(+/- 0.04 )",2.65,"(+/- 0.03 )",2.57,"(+/- 0.05 )",2.67,"(+/- 0.09 )",2.63,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.96,"(+/- 0.08 )",2.29,"(+/- 0.08 )",2.29,"(+/- 0.10 )",2.33,"(+/- 0.08 )",2.24,"(+/- 0.08 )",2.20,"(+/- 0.10 )",2.12,"(+/- 0.07 )",2.23,"(+/- 0.09 )",2.10,"(+/- 0.07 )",2.15,"(+/- 0.09 )",1.97,"(+/- 0.07 )",2.25,"(+/- 0.07 )",2.30,"(+/- 0.07 )",2.29,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",298748,"(+/- 4442 )",280717,"(+/- 3956 )",283800,"(+/- 3506 )",272535,"(+/- 2962 )",284841,"(+/- 3584 )",283902,"(+/- 3503 )",280096,"(+/- 3300 )",284819,"(+/- 3381 )",304748,"(+/- 3764 )",287019,"(+/- 4059 )",292059,"(+/- 4264 )",277907,"(+/- 4957 )",264757,"(+/- 5270 )",273932,"(+/- 5135 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",68270,"(+/- 3630 )",73061,"(+/- 4254 )",75462,"(+/- 3976 )",62478,"(+/- 2606 )",68282,"(+/- 3387 )",74995,"(+/- 3926 )",62054,"(+/- 3761 )",76344,"(+/- 3780 )",78121,"(+/- 4740 )",61445,"(+/- 3084 )",68687,"(+/- 3797 )",80399,"(+/- 4239 )",77363,"(+/- 3951 )",76874,"(+/- 4860 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",31913,"(+/- 2282 )",37066,"(+/- 2935 )",38687,"(+/- 3027 )",29494,"(+/- 2104 )",32009,"(+/- 2456 )",35652,"(+/- 2435 )",32077,"(+/- 2553 )",33458,"(+/- 2686 )",37502,"(+/- 3048 )",31903,"(+/- 2908 )",36697,"(+/- 2758 )",33657,"(+/- 2495 )",33750,"(+/- 2774 )",34314,"(+/- 3269 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",43793,"(+/- 2168 )",47251,"(+/- 3333 )",47557,"(+/- 3355 )",42294,"(+/- 2704 )",46923,"(+/- 3178 )",45895,"(+/- 3441 )",45584,"(+/- 2967 )",46230,"(+/- 2758 )",51205,"(+/- 3386 )",47880,"(+/- 2894 )",51603,"(+/- 2786 )",47824,"(+/- 2846 )",43520,"(+/- 3396 )",50566,"(+/- 3034 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",62291,"(+/- 2472 )",54261,"(+/- 3140 )",50916,"(+/- 3309 )",56801,"(+/- 2618 )",56349,"(+/- 3357 )",52706,"(+/- 2994 )",57375,"(+/- 3414 )",56306,"(+/- 2991 )",51823,"(+/- 2923 )",62519,"(+/- 3121 )",58757,"(+/- 3254 )",47925,"(+/- 2795 )",42298,"(+/- 3123 )",45435,"(+/- 3658 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",44176,"(+/- 2051 )",35287,"(+/- 2020 )",35239,"(+/- 2495 )",37389,"(+/- 1979 )",34476,"(+/- 2479 )",34553,"(+/- 2035 )",38994,"(+/- 2518 )",37712,"(+/- 2520 )",39365,"(+/- 2699 )",44273,"(+/- 2398 )",40926,"(+/- 2356 )",29671,"(+/- 2174 )",25504,"(+/- 2316 )",26901,"(+/- 2316 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",48305,"(+/- 2153 )",33791,"(+/- 2369 )",35939,"(+/- 2008 )",44079,"(+/- 2072 )",46802,"(+/- 2696 )",40101,"(+/- 2223 )",44012,"(+/- 2284 )",34769,"(+/- 2191 )",46732,"(+/- 3236 )",38999,"(+/- 2381 )",35389,"(+/- 2468 )",38431,"(+/- 2633 )",42322,"(+/- 3159 )",39842,"(+/- 3089 )"
Housing,Value,"Owner-occupied units",233016,"(+/- 4142 )",205396,"(+/- 4054 )",210760,"(+/- 3841 )",216064,"(+/- 3238 )",201410,"(+/- 4066 )",202423,"(+/- 3521 )",213081,"(+/- 3523 )",211385,"(+/- 4211 )",213566,"(+/- 4372 )",232896,"(+/- 4710 )",225948,"(+/- 4171 )",181673,"(+/- 4692 )",141920,"(+/- 4754 )",151657,"(+/- 4775 )"
Housing,Value,"Less than $50,000",25513,"(+/- 1806 )",19113,"(+/- 2122 )",15800,"(+/- 1758 )",21035,"(+/- 1329 )",42908,"(+/- 2914 )",16154,"(+/- 1559 )",16736,"(+/- 1754 )",11876,"(+/- 1549 )",11126,"(+/- 1893 )",16176,"(+/- 1727 )",10049,"(+/- 1192 )",12326,"(+/- 1789 )",39325,"(+/- 2832 )",24834,"(+/- 2380 )"
Housing,Value,"$50,000 to $99,999",51881,"(+/- 2449 )",23201,"(+/- 1858 )",24418,"(+/- 1945 )",48852,"(+/- 2419 )",45908,"(+/- 3116 )",33648,"(+/- 2219 )",33862,"(+/- 2361 )",18420,"(+/- 2008 )",26541,"(+/- 2009 )",25259,"(+/- 1665 )",5931,"(+/- 1045 )",21990,"(+/- 2030 )",41107,"(+/- 3184 )",32920,"(+/- 2214 )"
Housing,Value,"$100,000 to $149,999",41233,"(+/- 2301 )",35750,"(+/- 3003 )",32589,"(+/- 2390 )",46831,"(+/- 2162 )",40828,"(+/- 2651 )",39672,"(+/- 2523 )",38622,"(+/- 2482 )",23698,"(+/- 2266 )",40696,"(+/- 2879 )",29108,"(+/- 2301 )",15547,"(+/- 1604 )",40850,"(+/- 3189 )",27490,"(+/- 2669 )",17252,"(+/- 2343 )"
Housing,Value,"$150,000 to $199,999",35530,"(+/- 1671 )",46332,"(+/- 2995 )",41761,"(+/- 2867 )",39296,"(+/- 2146 )",31388,"(+/- 2330 )",37062,"(+/- 2579 )",42620,"(+/- 2465 )",27980,"(+/- 2050 )",53343,"(+/- 2657 )",39492,"(+/- 2728 )",34782,"(+/- 2434 )",34051,"(+/- 2628 )",18922,"(+/- 1679 )",17643,"(+/- 2020 )"
Housing,Value,"$200,000 to $299,999",40340,"(+/- 2129 )",48477,"(+/- 2911 )",50680,"(+/- 2836 )",35909,"(+/- 2191 )",27003,"(+/- 2121 )",40967,"(+/- 2254 )",43432,"(+/- 2279 )",54702,"(+/- 3015 )",48455,"(+/- 2971 )",63045,"(+/- 3204 )",65442,"(+/- 3053 )",36457,"(+/- 2855 )",8725,"(+/- 1268 )",26860,"(+/- 1807 )"
Housing,Value,"$300,000 to $499,999",26000,"(+/- 1728 )",24982,"(+/- 2100 )",34746,"(+/- 2763 )",19324,"(+/- 1519 )",10211,"(+/- 1419 )",23420,"(+/- 1812 )",28804,"(+/- 2097 )",56148,"(+/- 2514 )",21903,"(+/- 1749 )",50669,"(+/- 2546 )",65140,"(+/- 2681 )",24691,"(+/- 1835 )",3850,"(+/- 742 )",21469,"(+/- 1758 )"
Housing,Value,"$500,000 to $999,999",10182,"(+/- 1131 )",6047,"(+/- 1021 )",8721,"(+/- 1220 )",3608,"(+/- 706 )",2433,"(+/- 750 )",9119,"(+/- 1275 )",8171,"(+/- 1284 )",16874,"(+/- 1314 )",9169,"(+/- 938 )",7949,"(+/- 1110 )",23991,"(+/- 1640 )",9703,"(+/- 1070 )",1940,"(+/- 593 )",8736,"(+/- 1142 )"
Housing,Value,"$1,000,000 or more",2337,"(+/- 515 )",1494,"(+/- 414 )",2045,"(+/- 760 )",1209,"(+/- 362 )",731,"(+/- 359 )",2381,"(+/- 805 )",834,"(+/- 350 )",1687,"(+/- 542 )",2333,"(+/- 525 )",1198,"(+/- 470 )",5066,"(+/- 946 )",1605,"(+/- 545 )",561,"(+/- 271 )",1943,"(+/- 517 )"
Housing,Value,"Median (dollars)",147000,"(+/- 3200 )",172200,"(+/- 2772 )",186800,"(+/- 3975 )",139800,"(+/- 3032 )",112400,"(+/- 3137 )",163700,"(+/- 2869 )",168000,"(+/- 2644 )",243300,"(+/- 4055 )",172100,"(+/- 2653 )",210300,"(+/- 4677 )",267700,"(+/- 4777 )",169700,"(+/- 3800 )",85600,"(+/- 3143 )",151900,"(+/- 6760 )"
Housing,"Mortgage Status","Owner-occupied units",233016,"(+/- 4142 )",205396,"(+/- 4054 )",210760,"(+/- 3841 )",216064,"(+/- 3238 )",201410,"(+/- 4066 )",202423,"(+/- 3521 )",213081,"(+/- 3523 )",211385,"(+/- 4211 )",213566,"(+/- 4372 )",232896,"(+/- 4710 )",225948,"(+/- 4171 )",181673,"(+/- 4692 )",141920,"(+/- 4754 )",151657,"(+/- 4775 )"
Housing,"Mortgage Status","Housing units with a mortgage",125081,"(+/- 3384 )",124157,"(+/- 3920 )",130280,"(+/- 4103 )",119510,"(+/- 3280 )",108275,"(+/- 3593 )",122906,"(+/- 3562 )",131730,"(+/- 3451 )",143202,"(+/- 3942 )",132689,"(+/- 4469 )",146644,"(+/- 4582 )",149166,"(+/- 3794 )",108308,"(+/- 3666 )",64561,"(+/- 3540 )",78772,"(+/- 3748 )"
Housing,"Mortgage Status","Housing units without a mortgage",107935,"(+/- 3010 )",81239,"(+/- 2938 )",80480,"(+/- 3543 )",96554,"(+/- 2705 )",93135,"(+/- 3936 )",79517,"(+/- 2307 )",81351,"(+/- 3138 )",68183,"(+/- 3125 )",80877,"(+/- 3296 )",86252,"(+/- 3544 )",76782,"(+/- 3322 )",73365,"(+/- 3577 )",77359,"(+/- 4057 )",72885,"(+/- 4313 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",125081,"(+/- 3384 )",124157,"(+/- 3920 )",130280,"(+/- 4103 )",119510,"(+/- 3280 )",108275,"(+/- 3593 )",122906,"(+/- 3562 )",131730,"(+/- 3451 )",143202,"(+/- 3942 )",132689,"(+/- 4469 )",146644,"(+/- 4582 )",149166,"(+/- 3794 )",108308,"(+/- 3666 )",64561,"(+/- 3540 )",78772,"(+/- 3748 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",4468,"(+/- 840 )",2556,"(+/- 704 )",2715,"(+/- 863 )",2807,"(+/- 619 )",3030,"(+/- 634 )",2762,"(+/- 695 )",2011,"(+/- 520 )",1190,"(+/- 419 )",1597,"(+/- 463 )",1633,"(+/- 534 )",1289,"(+/- 590 )",726,"(+/- 358 )",1193,"(+/- 433 )",858,"(+/- 350 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",47819,"(+/- 2375 )",35295,"(+/- 2778 )",34155,"(+/- 2424 )",42378,"(+/- 2124 )",42475,"(+/- 2706 )",40106,"(+/- 2422 )",36012,"(+/- 2820 )",24124,"(+/- 1816 )",31545,"(+/- 2402 )",31455,"(+/- 2423 )",17210,"(+/- 1931 )",21814,"(+/- 1985 )",23461,"(+/- 2146 )",17175,"(+/- 1921 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",42455,"(+/- 2046 )",50925,"(+/- 3090 )",49215,"(+/- 3243 )",45171,"(+/- 2432 )",39093,"(+/- 2656 )",43293,"(+/- 2883 )",48151,"(+/- 2785 )",40916,"(+/- 2709 )",54619,"(+/- 2977 )",51180,"(+/- 3014 )",41748,"(+/- 2243 )",37665,"(+/- 2673 )",27947,"(+/- 2700 )",25019,"(+/- 2360 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",16570,"(+/- 1527 )",23149,"(+/- 1804 )",23040,"(+/- 1963 )",18188,"(+/- 1564 )",14577,"(+/- 1637 )",20779,"(+/- 2074 )",26198,"(+/- 2233 )",35483,"(+/- 2336 )",25777,"(+/- 2227 )",31420,"(+/- 2253 )",36383,"(+/- 2536 )",25047,"(+/- 2301 )",8255,"(+/- 1392 )",14998,"(+/- 1833 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",7177,"(+/- 1168 )",6680,"(+/- 1095 )",11757,"(+/- 1622 )",6234,"(+/- 962 )",6082,"(+/- 1311 )",8121,"(+/- 1115 )",10670,"(+/- 1333 )",20668,"(+/- 2051 )",8925,"(+/- 1123 )",18258,"(+/- 1956 )",21759,"(+/- 1771 )",10912,"(+/- 1277 )",2183,"(+/- 607 )",9483,"(+/- 1456 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2815,"(+/- 698 )",3118,"(+/- 787 )",4599,"(+/- 1035 )",2673,"(+/- 716 )",1533,"(+/- 712 )",2999,"(+/- 733 )",5004,"(+/- 973 )",10798,"(+/- 1434 )",4099,"(+/- 817 )",7090,"(+/- 1184 )",12087,"(+/- 1541 )",5568,"(+/- 1073 )",814,"(+/- 465 )",5364,"(+/- 982 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",3777,"(+/- 728 )",2434,"(+/- 723 )",4799,"(+/- 981 )",2059,"(+/- 512 )",1485,"(+/- 605 )",4846,"(+/- 1060 )",3684,"(+/- 818 )",10023,"(+/- 1302 )",6127,"(+/- 871 )",5608,"(+/- 1295 )",18690,"(+/- 1742 )",6576,"(+/- 942 )",708,"(+/- 403 )",5875,"(+/- 922 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1097,"(+/- 17 )",1204,"(+/- 18 )",1261,"(+/- 30 )",1142,"(+/- 15 )",1091,"(+/- 21 )",1188,"(+/- 24 )",1274,"(+/- 24 )",1573,"(+/- 33 )",1294,"(+/- 22 )",1380,"(+/- 25 )",1674,"(+/- 29 )",1416,"(+/- 30 )",1109,"(+/- 23 )",1419,"(+/- 32 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",107935,"(+/- 3010 )",81239,"(+/- 2938 )",80480,"(+/- 3543 )",96554,"(+/- 2705 )",93135,"(+/- 3936 )",79517,"(+/- 2307 )",81351,"(+/- 3138 )",68183,"(+/- 3125 )",80877,"(+/- 3296 )",86252,"(+/- 3544 )",76782,"(+/- 3322 )",73365,"(+/- 3577 )",77359,"(+/- 4057 )",72885,"(+/- 4313 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",13743,"(+/- 1311 )",7683,"(+/- 1042 )",7105,"(+/- 1124 )",10114,"(+/- 922 )",9402,"(+/- 1482 )",8585,"(+/- 1304 )",7042,"(+/- 1050 )",2626,"(+/- 753 )",3305,"(+/- 659 )",5636,"(+/- 797 )",2312,"(+/- 598 )",4267,"(+/- 1171 )",8658,"(+/- 1526 )",7138,"(+/- 1284 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",36194,"(+/- 1778 )",22748,"(+/- 2038 )",19531,"(+/- 1878 )",28435,"(+/- 1851 )",27548,"(+/- 2456 )",22041,"(+/- 1636 )",19724,"(+/- 1775 )",11098,"(+/- 1252 )",15319,"(+/- 1687 )",19106,"(+/- 1673 )",8871,"(+/- 1311 )",10074,"(+/- 1596 )",23439,"(+/- 2136 )",15136,"(+/- 2059 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",36672,"(+/- 2137 )",32359,"(+/- 2339 )",28708,"(+/- 2158 )",36542,"(+/- 1900 )",35378,"(+/- 2707 )",27082,"(+/- 1884 )",30436,"(+/- 2192 )",21270,"(+/- 1956 )",34593,"(+/- 2693 )",31676,"(+/- 2168 )",24038,"(+/- 1748 )",25432,"(+/- 2318 )",28287,"(+/- 2753 )",21867,"(+/- 2445 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",12947,"(+/- 1290 )",13055,"(+/- 1729 )",14551,"(+/- 1731 )",13778,"(+/- 1365 )",14477,"(+/- 1698 )",12654,"(+/- 1444 )",15879,"(+/- 1596 )",17664,"(+/- 1692 )",15064,"(+/- 1767 )",18880,"(+/- 2186 )",21494,"(+/- 1921 )",16763,"(+/- 1815 )",11749,"(+/- 1701 )",13809,"(+/- 1727 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",4527,"(+/- 689 )",2838,"(+/- 716 )",5526,"(+/- 1193 )",4668,"(+/- 839 )",4326,"(+/- 846 )",5080,"(+/- 1111 )",4167,"(+/- 739 )",8674,"(+/- 1260 )",6571,"(+/- 980 )",6551,"(+/- 1106 )",10020,"(+/- 1309 )",9157,"(+/- 1349 )",3333,"(+/- 775 )",6343,"(+/- 1145 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",3852,"(+/- 633 )",2556,"(+/- 599 )",5059,"(+/- 1041 )",3017,"(+/- 588 )",2004,"(+/- 550 )",4075,"(+/- 813 )",4103,"(+/- 807 )",6851,"(+/- 1198 )",6025,"(+/- 1011 )",4403,"(+/- 1019 )",10047,"(+/- 1333 )",7672,"(+/- 1176 )",1893,"(+/- 541 )",8592,"(+/- 1085 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",418,"(+/- 7 )",453,"(+/- 10 )",484,"(+/- 11 )",447,"(+/- 8 )",444,"(+/- 9 )",458,"(+/- 11 )",482,"(+/- 12 )",591,"(+/- 19 )",523,"(+/- 11 )",518,"(+/- 13 )",627,"(+/- 13 )",575,"(+/- 14 )",438,"(+/- 11 )",516,"(+/- 22 )"
Housing,"Gross Rent","Occupied units paying rent",59367,"(+/- 2928 )",70281,"(+/- 3310 )",69974,"(+/- 3117 )",51609,"(+/- 2632 )",79473,"(+/- 4051 )",76465,"(+/- 3691 )",63494,"(+/- 3401 )",70926,"(+/- 3305 )",87948,"(+/- 3895 )",49582,"(+/- 3438 )",64387,"(+/- 3390 )",93304,"(+/- 4458 )",115815,"(+/- 4759 )",118556,"(+/- 4561 )"
Housing,"Gross Rent","Less than $500",13564,"(+/- 1329 )",6089,"(+/- 1120 )",6573,"(+/- 1208 )",9959,"(+/- 1258 )",14194,"(+/- 2125 )",12114,"(+/- 1788 )",8508,"(+/- 1396 )",5419,"(+/- 1154 )",6081,"(+/- 1237 )",4588,"(+/- 866 )",2690,"(+/- 703 )",5267,"(+/- 900 )",17607,"(+/- 2069 )",11704,"(+/- 1749 )"
Housing,"Gross Rent","$500 to $999",33188,"(+/- 2090 )",39714,"(+/- 2939 )",35146,"(+/- 2728 )",31570,"(+/- 2002 )",50626,"(+/- 3422 )",45209,"(+/- 3665 )",38244,"(+/- 2482 )",34681,"(+/- 2826 )",38998,"(+/- 2758 )",27504,"(+/- 2554 )",22606,"(+/- 2298 )",38417,"(+/- 2823 )",60316,"(+/- 4039 )",48631,"(+/- 3923 )"
Housing,"Gross Rent","$1,000 to $1,499",9528,"(+/- 1443 )",19396,"(+/- 2403 )",22996,"(+/- 2406 )",8032,"(+/- 1257 )",12761,"(+/- 1759 )",16484,"(+/- 2348 )",12926,"(+/- 1945 )",23048,"(+/- 2372 )",30473,"(+/- 2743 )",12269,"(+/- 1702 )",23135,"(+/- 2282 )",36080,"(+/- 2938 )",31702,"(+/- 2774 )",43837,"(+/- 3720 )"
Housing,"Gross Rent","$1,500 to $1,999",2134,"(+/- 618 )",4493,"(+/- 1431 )",3737,"(+/- 1050 )",1566,"(+/- 583 )",1162,"(+/- 623 )",1799,"(+/- 828 )",2335,"(+/- 932 )",4686,"(+/- 1005 )",9499,"(+/- 1940 )",4223,"(+/- 1080 )",9638,"(+/- 1533 )",9371,"(+/- 1496 )",5024,"(+/- 1315 )",10469,"(+/- 1729 )"
Housing,"Gross Rent","$2,000 to $2,499",430,"(+/- 366 )",304,"(+/- 214 )",925,"(+/- 380 )",253,"(+/- 218 )",358,"(+/- 204 )",420,"(+/- 335 )",411,"(+/- 268 )",1799,"(+/- 598 )",1424,"(+/- 533 )",411,"(+/- 318 )",3271,"(+/- 981 )",2548,"(+/- 709 )",765,"(+/- 483 )",2674,"(+/- 862 )"
Housing,"Gross Rent","$2,500 to $2,999",133,"(+/- 118 )",276,"(+/- 364 )",538,"(+/- 474 )",0,"(+/- 175 )",0,"(+/- 175 )",0,"(+/- 175 )",130,"(+/- 128 )",310,"(+/- 172 )",375,"(+/- 265 )",255,"(+/- 381 )",2012,"(+/- 763 )",738,"(+/- 361 )",355,"(+/- 432 )",613,"(+/- 458 )"
Housing,"Gross Rent","$3,000 or more",390,"(+/- 260 )",9,"(+/- 14 )",59,"(+/- 97 )",229,"(+/- 154 )",372,"(+/- 466 )",439,"(+/- 218 )",940,"(+/- 529 )",983,"(+/- 661 )",1098,"(+/- 545 )",332,"(+/- 197 )",1035,"(+/- 378 )",883,"(+/- 449 )",46,"(+/- 72 )",628,"(+/- 357 )"
Housing,"Gross Rent","Median (dollars)",707,"(+/- 27 )",874,"(+/- 21 )",897,"(+/- 31 )",738,"(+/- 17 )",755,"(+/- 17 )",803,"(+/- 21 )",799,"(+/- 26 )",938,"(+/- 28 )",990,"(+/- 22 )",890,"(+/- 23 )",1123,"(+/- 35 )",1030,"(+/- 23 )",859,"(+/- 15 )",992,"(+/- 24 )"
Housing,"Gross Rent","No rent paid",6365,"(+/- 1029 )",5040,"(+/- 999 )",3066,"(+/- 803 )",4862,"(+/- 737 )",3958,"(+/- 933 )",5014,"(+/- 1008 )",3521,"(+/- 795 )",2508,"(+/- 789 )",3234,"(+/- 905 )",4541,"(+/- 898 )",1724,"(+/- 534 )",2930,"(+/- 791 )",7022,"(+/- 1661 )",3719,"(+/- 1107 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Total households",298748,"(+/- 4442 )",280717,"(+/- 3956 )",283800,"(+/- 3506 )",272535,"(+/- 2962 )",284841,"(+/- 3584 )",283902,"(+/- 3503 )",280096,"(+/- 3300 )",284819,"(+/- 3381 )",304748,"(+/- 3764 )",287019,"(+/- 4059 )",292059,"(+/- 4264 )",277907,"(+/- 4957 )",264757,"(+/- 5270 )",273932,"(+/- 5135 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Less than $10,000",17084,"(+/- 1582 )",12058,"(+/- 1843 )",13548,"(+/- 1546 )",16493,"(+/- 1512 )",23747,"(+/- 2462 )",18941,"(+/- 1966 )",14332,"(+/- 1857 )",12309,"(+/- 1635 )",14043,"(+/- 2177 )",12546,"(+/- 1800 )",8323,"(+/- 1504 )",16656,"(+/- 2091 )",37123,"(+/- 3010 )",27027,"(+/- 3092 )"
