cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,"(+/- 0.6 )",2.6,"(+/- 0.9 )",1.2,"(+/- 0.6 )",1.6,"(+/- 0.5 )",2.4,"(+/- 0.9 )",0.8,"(+/- 0.5 )",3.2,"(+/- 1.1 )",1.2,"(+/- 0.5 )",0.8,"(+/- 0.6 )",1.4,"(+/- 0.6 )",1.8,"(+/- 0.6 )",1.2,"(+/- 0.6 )",1.8,"(+/- 0.6 )",2.1,"(+/- 0.6 )",1.8,"(+/- 0.7 )",1.7,"(+/- 0.8 )",0.8,"(+/- 0.4 )",2.2,"(+/- 0.8 )",1.0,"(+/- 0.4 )",2.5,"(+/- 0.8 )",1.6,"(+/- 0.5 )",1.4,"(+/- 0.7 )",1.1,"(+/- 0.5 )",0.8,"(+/- 0.4 )",0.8,"(+/- 0.4 )",0.8,"(+/- 0.5 )",1.5,"(+/- 0.5 )",1.5,"(+/- 0.6 )",1.7,"(+/- 0.8 )",1.1,"(+/- 0.6 )",1.7,"(+/- 0.7 )",2.2,"(+/- 0.8 )",1.0,"(+/- 0.5 )",0.9,"(+/- 0.4 )",1.6,"(+/- 0.7 )",0.8,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.3,"(+/- 1.8 )",10.1,"(+/- 2.2 )",8.0,"(+/- 1.6 )",4.7,"(+/- 1.5 )",10.3,"(+/- 2.0 )",6.1,"(+/- 1.7 )",10.6,"(+/- 1.7 )",7.5,"(+/- 2.5 )",7.9,"(+/- 1.5 )",5.2,"(+/- 1.7 )",5.8,"(+/- 2.0 )",13.0,"(+/- 2.0 )",9.5,"(+/- 2.0 )",9.1,"(+/- 1.8 )",8.4,"(+/- 2.1 )",12.1,"(+/- 2.4 )",7.7,"(+/- 1.6 )",7.7,"(+/- 1.4 )",8.8,"(+/- 1.8 )",8.1,"(+/- 1.7 )",6.3,"(+/- 1.4 )",5.0,"(+/- 2.0 )",8.7,"(+/- 2.2 )",7.8,"(+/- 1.4 )",5.9,"(+/- 1.8 )",5.8,"(+/- 1.9 )",11.4,"(+/- 2.4 )",8.4,"(+/- 1.8 )",8.4,"(+/- 1.7 )",9.3,"(+/- 1.6 )",7.6,"(+/- 1.8 )",10.2,"(+/- 1.5 )",7.8,"(+/- 1.4 )",7.1,"(+/- 2.1 )",6.0,"(+/- 1.3 )",7.1,"(+/- 2.0 )"
Housing,"Housing Tenure","Occupied housing units",259325,"(+/- 4246 )",291668,"(+/- 8766 )",324907,"(+/- 4650 )",284355,"(+/- 4399 )",261420,"(+/- 4895 )",280492,"(+/- 6316 )",301869,"(+/- 8857 )",306739,"(+/- 5630 )",266557,"(+/- 8166 )",321723,"(+/- 7846 )",280662,"(+/- 4008 )",295728,"(+/- 6434 )",259762,"(+/- 4293 )",272741,"(+/- 4900 )",237783,"(+/- 5274 )",240099,"(+/- 3678 )",286608,"(+/- 5828 )",293472,"(+/- 8835 )",263521,"(+/- 3999 )",255836,"(+/- 6133 )",332269,"(+/- 7299 )",310680,"(+/- 6762 )",242400,"(+/- 5528 )",325176,"(+/- 6504 )",291833,"(+/- 5979 )",306921,"(+/- 5612 )",262779,"(+/- 4767 )",221494,"(+/- 5371 )",230537,"(+/- 7885 )",272334,"(+/- 6659 )",306854,"(+/- 4218 )",291460,"(+/- 6876 )",225078,"(+/- 5528 )",216930,"(+/- 4770 )",294971,"(+/- 7837 )",268143,"(+/- 5967 )"
Housing,"Housing Tenure",Owner-occupied,174802,"(+/- 4322 )",180519,"(+/- 7052 )",195592,"(+/- 5372 )",206066,"(+/- 5136 )",168893,"(+/- 5197 )",183594,"(+/- 6430 )",143511,"(+/- 6161 )",217500,"(+/- 6233 )",123661,"(+/- 6375 )",213146,"(+/- 7072 )",195121,"(+/- 5437 )",192233,"(+/- 5094 )",175710,"(+/- 4325 )",183152,"(+/- 5397 )",161183,"(+/- 5530 )",141507,"(+/- 4605 )",165304,"(+/- 4801 )",132895,"(+/- 5752 )",164532,"(+/- 4024 )",141842,"(+/- 5470 )",195850,"(+/- 5885 )",231863,"(+/- 6452 )",173871,"(+/- 4491 )",153607,"(+/- 5157 )",204696,"(+/- 5947 )",218464,"(+/- 5486 )",173507,"(+/- 4702 )",154371,"(+/- 5550 )",120587,"(+/- 5956 )",135794,"(+/- 5434 )",188995,"(+/- 4813 )",166781,"(+/- 5704 )",108806,"(+/- 4972 )",145922,"(+/- 5084 )",151179,"(+/- 6298 )",194222,"(+/- 5537 )"
Housing,"Housing Tenure",Renter-occupied,84523,"(+/- 4326 )",111149,"(+/- 7091 )",129315,"(+/- 5310 )",78289,"(+/- 4571 )",92527,"(+/- 5702 )",96898,"(+/- 4635 )",158358,"(+/- 8448 )",89239,"(+/- 5644 )",142896,"(+/- 7063 )",108577,"(+/- 6083 )",85541,"(+/- 4599 )",103495,"(+/- 5995 )",84052,"(+/- 3729 )",89589,"(+/- 4656 )",76600,"(+/- 4602 )",98592,"(+/- 4567 )",121304,"(+/- 4723 )",160577,"(+/- 7443 )",98989,"(+/- 4139 )",113994,"(+/- 5389 )",136419,"(+/- 5878 )",78817,"(+/- 6164 )",68529,"(+/- 4774 )",171569,"(+/- 5842 )",87137,"(+/- 5194 )",88457,"(+/- 4618 )",89272,"(+/- 5281 )",67123,"(+/- 4507 )",109950,"(+/- 5941 )",136540,"(+/- 6891 )",117859,"(+/- 5087 )",124679,"(+/- 5120 )",116272,"(+/- 5413 )",71008,"(+/- 5349 )",143792,"(+/- 6480 )",73921,"(+/- 5211 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.80,"(+/- 0.06 )",2.85,"(+/- 0.08 )",3.02,"(+/- 0.05 )",2.71,"(+/- 0.05 )",2.96,"(+/- 0.07 )",3.02,"(+/- 0.06 )",2.84,"(+/- 0.09 )",2.94,"(+/- 0.06 )",3.05,"(+/- 0.11 )",2.97,"(+/- 0.06 )",2.83,"(+/- 0.06 )",3.02,"(+/- 0.06 )",2.71,"(+/- 0.05 )",2.76,"(+/- 0.06 )",3.42,"(+/- 0.09 )",3.20,"(+/- 0.09 )",2.78,"(+/- 0.07 )",3.01,"(+/- 0.11 )",2.68,"(+/- 0.06 )",3.37,"(+/- 0.09 )",2.65,"(+/- 0.06 )",3.22,"(+/- 0.07 )",3.19,"(+/- 0.07 )",2.86,"(+/- 0.07 )",2.80,"(+/- 0.05 )",3.09,"(+/- 0.06 )",2.86,"(+/- 0.07 )",3.54,"(+/- 0.09 )",3.46,"(+/- 0.12 )",3.14,"(+/- 0.09 )",3.14,"(+/- 0.06 )",2.84,"(+/- 0.06 )",3.44,"(+/- 0.10 )",3.27,"(+/- 0.08 )",3.05,"(+/- 0.09 )",2.84,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.48,"(+/- 0.10 )",2.38,"(+/- 0.09 )",2.44,"(+/- 0.07 )",2.65,"(+/- 0.09 )",2.54,"(+/- 0.10 )",2.64,"(+/- 0.13 )",2.23,"(+/- 0.08 )",2.57,"(+/- 0.11 )",2.72,"(+/- 0.10 )",2.55,"(+/- 0.12 )",2.54,"(+/- 0.12 )",2.39,"(+/- 0.10 )",2.45,"(+/- 0.11 )",2.48,"(+/- 0.11 )",3.08,"(+/- 0.13 )",2.84,"(+/- 0.10 )",2.44,"(+/- 0.08 )",2.52,"(+/- 0.09 )",2.51,"(+/- 0.08 )",2.99,"(+/- 0.12 )",2.16,"(+/- 0.07 )",2.62,"(+/- 0.14 )",3.06,"(+/- 0.15 )",2.27,"(+/- 0.06 )",2.39,"(+/- 0.10 )",2.64,"(+/- 0.11 )",2.62,"(+/- 0.10 )",3.27,"(+/- 0.14 )",3.32,"(+/- 0.13 )",2.55,"(+/- 0.09 )",2.61,"(+/- 0.09 )",2.40,"(+/- 0.09 )",3.19,"(+/- 0.11 )",3.07,"(+/- 0.14 )",2.62,"(+/- 0.07 )",2.56,"(+/- 0.13 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",259325,"(+/- 4246 )",291668,"(+/- 8766 )",324907,"(+/- 4650 )",284355,"(+/- 4399 )",261420,"(+/- 4895 )",280492,"(+/- 6316 )",301869,"(+/- 8857 )",306739,"(+/- 5630 )",266557,"(+/- 8166 )",321723,"(+/- 7846 )",280662,"(+/- 4008 )",295728,"(+/- 6434 )",259762,"(+/- 4293 )",272741,"(+/- 4900 )",237783,"(+/- 5274 )",240099,"(+/- 3678 )",286608,"(+/- 5828 )",293472,"(+/- 8835 )",263521,"(+/- 3999 )",255836,"(+/- 6133 )",332269,"(+/- 7299 )",310680,"(+/- 6762 )",242400,"(+/- 5528 )",325176,"(+/- 6504 )",291833,"(+/- 5979 )",306921,"(+/- 5612 )",262779,"(+/- 4767 )",221494,"(+/- 5371 )",230537,"(+/- 7885 )",272334,"(+/- 6659 )",306854,"(+/- 4218 )",291460,"(+/- 6876 )",225078,"(+/- 5528 )",216930,"(+/- 4770 )",294971,"(+/- 7837 )",268143,"(+/- 5967 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",74679,"(+/- 4068 )",102136,"(+/- 6821 )",126371,"(+/- 6104 )",82327,"(+/- 4630 )",78784,"(+/- 5214 )",88170,"(+/- 5012 )",125105,"(+/- 7095 )",100183,"(+/- 5803 )",90034,"(+/- 7098 )",109820,"(+/- 6468 )",89061,"(+/- 4883 )",102267,"(+/- 5441 )",72808,"(+/- 3926 )",80834,"(+/- 4641 )",57081,"(+/- 4211 )",73773,"(+/- 4579 )",105847,"(+/- 4738 )",105129,"(+/- 6947 )",85114,"(+/- 4008 )",92398,"(+/- 5161 )",126506,"(+/- 5937 )",93672,"(+/- 5994 )",63221,"(+/- 4795 )",139844,"(+/- 6221 )",94204,"(+/- 5230 )",102599,"(+/- 4933 )",70536,"(+/- 4390 )",54879,"(+/- 3399 )",70831,"(+/- 5073 )",89749,"(+/- 6131 )",120341,"(+/- 4714 )",109454,"(+/- 5526 )",65141,"(+/- 4124 )",51507,"(+/- 4298 )",118451,"(+/- 5836 )",73200,"(+/- 4774 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",28949,"(+/- 3322 )",36216,"(+/- 3567 )",46070,"(+/- 3573 )",36275,"(+/- 2783 )",35913,"(+/- 3287 )",35538,"(+/- 3374 )",40831,"(+/- 4466 )",40878,"(+/- 4296 )",36304,"(+/- 4719 )",46993,"(+/- 4135 )",32373,"(+/- 3487 )",39593,"(+/- 3241 )",33003,"(+/- 2778 )",36729,"(+/- 4222 )",26240,"(+/- 3274 )",28673,"(+/- 3159 )",36501,"(+/- 3261 )",45782,"(+/- 4126 )",31431,"(+/- 2427 )",26097,"(+/- 2812 )",47349,"(+/- 3891 )",46216,"(+/- 5043 )",30881,"(+/- 3439 )",45316,"(+/- 3957 )",39928,"(+/- 4063 )",46914,"(+/- 3514 )",33658,"(+/- 3375 )",24487,"(+/- 2839 )",25568,"(+/- 2898 )",34279,"(+/- 3307 )",40545,"(+/- 3408 )",34593,"(+/- 3283 )",31964,"(+/- 3286 )",24837,"(+/- 2741 )",35260,"(+/- 3919 )",33661,"(+/- 3092 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",41276,"(+/- 3435 )",46867,"(+/- 4474 )",48638,"(+/- 3553 )",44296,"(+/- 3775 )",42965,"(+/- 3311 )",44071,"(+/- 3520 )",43657,"(+/- 4010 )",56893,"(+/- 5044 )",40634,"(+/- 4506 )",55183,"(+/- 5024 )",43593,"(+/- 4150 )",46046,"(+/- 3876 )",41637,"(+/- 3460 )",41099,"(+/- 3636 )",41237,"(+/- 3846 )",31235,"(+/- 3344 )",43463,"(+/- 3369 )",44514,"(+/- 4265 )",38191,"(+/- 3332 )",37072,"(+/- 2997 )",48535,"(+/- 4049 )",59699,"(+/- 4917 )",39430,"(+/- 3335 )",46734,"(+/- 3774 )",51822,"(+/- 3918 )",56287,"(+/- 4414 )",40764,"(+/- 3177 )",36919,"(+/- 3445 )",34880,"(+/- 3360 )",44734,"(+/- 4494 )",50362,"(+/- 3636 )",42876,"(+/- 3217 )",33480,"(+/- 2966 )",33211,"(+/- 2968 )",44206,"(+/- 4629 )",38484,"(+/- 3420 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",56637,"(+/- 3793 )",59612,"(+/- 4068 )",66093,"(+/- 4381 )",60474,"(+/- 4237 )",55550,"(+/- 3551 )",63163,"(+/- 4358 )",54803,"(+/- 4386 )",65341,"(+/- 6014 )",52317,"(+/- 5045 )",61870,"(+/- 4068 )",54795,"(+/- 4230 )",59582,"(+/- 4203 )",52269,"(+/- 3442 )",55612,"(+/- 3778 )",58029,"(+/- 3602 )",49293,"(+/- 3857 )",51593,"(+/- 3412 )",51018,"(+/- 5179 )",52444,"(+/- 3136 )",45357,"(+/- 3271 )",59929,"(+/- 4785 )",65242,"(+/- 4657 )",51294,"(+/- 4281 )",47860,"(+/- 3565 )",57051,"(+/- 3072 )",64311,"(+/- 3906 )",50055,"(+/- 3447 )",55824,"(+/- 3684 )",48574,"(+/- 4564 )",50406,"(+/- 4357 )",58126,"(+/- 3558 )",54917,"(+/- 4511 )",45266,"(+/- 3210 )",48488,"(+/- 3563 )",49978,"(+/- 4428 )",61296,"(+/- 4202 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",27966,"(+/- 2491 )",26822,"(+/- 3083 )",25726,"(+/- 2431 )",30591,"(+/- 2373 )",26950,"(+/- 2800 )",29348,"(+/- 2714 )",24320,"(+/- 2439 )",25680,"(+/- 3733 )",27798,"(+/- 3304 )",27152,"(+/- 2894 )",29041,"(+/- 2618 )",25704,"(+/- 2716 )",26709,"(+/- 2167 )",27614,"(+/- 2708 )",30111,"(+/- 2841 )",27997,"(+/- 2514 )",24563,"(+/- 2433 )",22873,"(+/- 2539 )",25825,"(+/- 2423 )",24113,"(+/- 2522 )",29652,"(+/- 2440 )",29205,"(+/- 3588 )",25050,"(+/- 2824 )",28846,"(+/- 2948 )",27308,"(+/- 2348 )",23392,"(+/- 2349 )",27613,"(+/- 2278 )",24902,"(+/- 2813 )",23937,"(+/- 3125 )",24826,"(+/- 2927 )",24966,"(+/- 2844 )",27285,"(+/- 2666 )",24086,"(+/- 2613 )",24963,"(+/- 2365 )",21200,"(+/- 2316 )",31856,"(+/- 2839 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",29818,"(+/- 2192 )",20015,"(+/- 2234 )",12009,"(+/- 1738 )",30392,"(+/- 2546 )",21258,"(+/- 2277 )",20202,"(+/- 2056 )",13153,"(+/- 1629 )",17764,"(+/- 2744 )",19470,"(+/- 2568 )",20705,"(+/- 2098 )",31799,"(+/- 2783 )",22536,"(+/- 2252 )",33336,"(+/- 2274 )",30853,"(+/- 2535 )",25085,"(+/- 2404 )",29128,"(+/- 2826 )",24641,"(+/- 2103 )",24156,"(+/- 2324 )",30516,"(+/- 2121 )",30799,"(+/- 2641 )",20298,"(+/- 2713 )",16646,"(+/- 2466 )",32524,"(+/- 2502 )",16576,"(+/- 2035 )",21520,"(+/- 2425 )",13418,"(+/- 1646 )",40153,"(+/- 3135 )",24483,"(+/- 2158 )",26747,"(+/- 2687 )",28340,"(+/- 2866 )",12514,"(+/- 1576 )",22335,"(+/- 2240 )",25141,"(+/- 2804 )",33924,"(+/- 2679 )",25876,"(+/- 2493 )",29646,"(+/- 2175 )"
Housing,Value,"Owner-occupied units",174802,"(+/- 4322 )",180519,"(+/- 7052 )",195592,"(+/- 5372 )",206066,"(+/- 5136 )",168893,"(+/- 5197 )",183594,"(+/- 6430 )",143511,"(+/- 6161 )",217500,"(+/- 6233 )",123661,"(+/- 6375 )",213146,"(+/- 7072 )",195121,"(+/- 5437 )",192233,"(+/- 5094 )",175710,"(+/- 4325 )",183152,"(+/- 5397 )",161183,"(+/- 5530 )",141507,"(+/- 4605 )",165304,"(+/- 4801 )",132895,"(+/- 5752 )",164532,"(+/- 4024 )",141842,"(+/- 5470 )",195850,"(+/- 5885 )",231863,"(+/- 6452 )",173871,"(+/- 4491 )",153607,"(+/- 5157 )",204696,"(+/- 5947 )",218464,"(+/- 5486 )",173507,"(+/- 4702 )",154371,"(+/- 5550 )",120587,"(+/- 5956 )",135794,"(+/- 5434 )",188995,"(+/- 4813 )",166781,"(+/- 5704 )",108806,"(+/- 4972 )",145922,"(+/- 5084 )",151179,"(+/- 6298 )",194222,"(+/- 5537 )"
Housing,Value,"Less than $50,000",25834,"(+/- 2956 )",3026,"(+/- 1225 )",2040,"(+/- 840 )",23135,"(+/- 2543 )",17054,"(+/- 2369 )",8056,"(+/- 1221 )",2137,"(+/- 871 )",17588,"(+/- 2758 )",5132,"(+/- 1148 )",9602,"(+/- 1957 )",23512,"(+/- 2794 )",6324,"(+/- 1369 )",24910,"(+/- 2135 )",18165,"(+/- 2336 )",25387,"(+/- 2637 )",9542,"(+/- 2074 )",15858,"(+/- 2008 )",9049,"(+/- 1622 )",25970,"(+/- 2471 )",6985,"(+/- 1347 )",7332,"(+/- 1667 )",6861,"(+/- 1753 )",20793,"(+/- 2425 )",2517,"(+/- 862 )",8505,"(+/- 1150 )",7943,"(+/- 1896 )",16320,"(+/- 2099 )",20605,"(+/- 2658 )",9438,"(+/- 1714 )",7582,"(+/- 1575 )",6459,"(+/- 1293 )",3151,"(+/- 918 )",9018,"(+/- 1585 )",34920,"(+/- 3659 )",12417,"(+/- 1925 )",27289,"(+/- 2836 )"
Housing,Value,"$50,000 to $99,999",38202,"(+/- 3005 )",5699,"(+/- 1689 )",1151,"(+/- 559 )",38763,"(+/- 2951 )",27075,"(+/- 2587 )",12758,"(+/- 2250 )",3804,"(+/- 1369 )",15059,"(+/- 2447 )",16113,"(+/- 2732 )",9976,"(+/- 1833 )",39655,"(+/- 2527 )",12805,"(+/- 1623 )",44377,"(+/- 3284 )",24754,"(+/- 3167 )",46767,"(+/- 3843 )",29507,"(+/- 2305 )",24532,"(+/- 3077 )",21958,"(+/- 2159 )",38288,"(+/- 2904 )",28022,"(+/- 2677 )",7846,"(+/- 1558 )",6576,"(+/- 1621 )",37917,"(+/- 3129 )",2404,"(+/- 617 )",20018,"(+/- 2049 )",3715,"(+/- 1082 )",38651,"(+/- 3710 )",32968,"(+/- 3141 )",28016,"(+/- 2837 )",22630,"(+/- 2710 )",12514,"(+/- 1801 )",4073,"(+/- 970 )",23823,"(+/- 2478 )",49334,"(+/- 3081 )",22809,"(+/- 2624 )",31158,"(+/- 2856 )"
Housing,Value,"$100,000 to $149,999",27530,"(+/- 2717 )",15530,"(+/- 2400 )",3935,"(+/- 1256 )",26860,"(+/- 2823 )",24017,"(+/- 2583 )",19986,"(+/- 2283 )",11399,"(+/- 2527 )",23952,"(+/- 3570 )",31865,"(+/- 3217 )",14572,"(+/- 2373 )",25295,"(+/- 2655 )",20993,"(+/- 2375 )",29749,"(+/- 2384 )",30142,"(+/- 3467 )",30817,"(+/- 3155 )",44394,"(+/- 3881 )",17178,"(+/- 2367 )",27713,"(+/- 3629 )",32605,"(+/- 2913 )",25707,"(+/- 2888 )",8195,"(+/- 1572 )",12200,"(+/- 2208 )",24386,"(+/- 2702 )",7794,"(+/- 1348 )",19907,"(+/- 2422 )",9809,"(+/- 1522 )",31018,"(+/- 2799 )",28509,"(+/- 2718 )",32724,"(+/- 3661 )",24324,"(+/- 3172 )",17188,"(+/- 2126 )",14797,"(+/- 1964 )",25720,"(+/- 2604 )",26594,"(+/- 2533 )",20414,"(+/- 2603 )",31850,"(+/- 2831 )"
Housing,Value,"$150,000 to $199,999",27806,"(+/- 2685 )",40825,"(+/- 4850 )",6572,"(+/- 1322 )",29753,"(+/- 2618 )",32827,"(+/- 2810 )",34821,"(+/- 3193 )",23867,"(+/- 2723 )",32803,"(+/- 3467 )",33120,"(+/- 3604 )",26614,"(+/- 3410 )",27442,"(+/- 3063 )",35394,"(+/- 3452 )",27006,"(+/- 2228 )",28944,"(+/- 2895 )",21136,"(+/- 2309 )",28322,"(+/- 2898 )",25402,"(+/- 2555 )",27700,"(+/- 3052 )",25446,"(+/- 2515 )",31220,"(+/- 2867 )",15193,"(+/- 2292 )",23726,"(+/- 2793 )",24518,"(+/- 2669 )",14457,"(+/- 1540 )",25411,"(+/- 2886 )",19106,"(+/- 2324 )",31678,"(+/- 2402 )",29536,"(+/- 3432 )",27184,"(+/- 3150 )",31483,"(+/- 3852 )",22926,"(+/- 2680 )",19224,"(+/- 2637 )",25934,"(+/- 3093 )",14303,"(+/- 2275 )",30127,"(+/- 3334 )",37170,"(+/- 2953 )"
Housing,Value,"$200,000 to $299,999",30117,"(+/- 2630 )",53317,"(+/- 4572 )",42767,"(+/- 3197 )",41151,"(+/- 3085 )",34919,"(+/- 2899 )",64541,"(+/- 4195 )",39325,"(+/- 3680 )",53599,"(+/- 4939 )",27911,"(+/- 3103 )",63753,"(+/- 4337 )",38442,"(+/- 3376 )",60062,"(+/- 3438 )",28720,"(+/- 2376 )",46315,"(+/- 3943 )",22378,"(+/- 2646 )",19416,"(+/- 2095 )",41914,"(+/- 3193 )",18796,"(+/- 2642 )",25160,"(+/- 2192 )",36635,"(+/- 3150 )",48237,"(+/- 3731 )",74403,"(+/- 6438 )",26629,"(+/- 2936 )",40813,"(+/- 3093 )",31441,"(+/- 3071 )",67494,"(+/- 4221 )",31870,"(+/- 3085 )",27137,"(+/- 2934 )",14827,"(+/- 2393 )",32329,"(+/- 3100 )",58639,"(+/- 4228 )",48661,"(+/- 3842 )",16881,"(+/- 2136 )",13082,"(+/- 2217 )",43784,"(+/- 3416 )",39840,"(+/- 3401 )"
Housing,Value,"$300,000 to $499,999",18253,"(+/- 2099 )",41016,"(+/- 3338 )",101105,"(+/- 4613 )",32540,"(+/- 2628 )",23371,"(+/- 2766 )",35732,"(+/- 3026 )",24688,"(+/- 2306 )",44499,"(+/- 3981 )",6998,"(+/- 1959 )",55142,"(+/- 3880 )",26562,"(+/- 2639 )",41043,"(+/- 3212 )",15062,"(+/- 1672 )",27974,"(+/- 3295 )",11472,"(+/- 1587 )",8712,"(+/- 1692 )",32157,"(+/- 2573 )",15868,"(+/- 1856 )",12895,"(+/- 1585 )",11776,"(+/- 1675 )",67002,"(+/- 3661 )",83127,"(+/- 5611 )",27493,"(+/- 2683 )",51835,"(+/- 3503 )",50147,"(+/- 3847 )",80430,"(+/- 3663 )",16847,"(+/- 2183 )",12583,"(+/- 2127 )",5503,"(+/- 1379 )",12633,"(+/- 2344 )",56460,"(+/- 3344 )",40452,"(+/- 3133 )",5268,"(+/- 1165 )",5630,"(+/- 1172 )",17632,"(+/- 2256 )",22201,"(+/- 2576 )"
Housing,Value,"$500,000 to $999,999",5145,"(+/- 1151 )",16817,"(+/- 2239 )",33223,"(+/- 2673 )",11966,"(+/- 1794 )",7403,"(+/- 1096 )",7229,"(+/- 1421 )",21047,"(+/- 1890 )",23822,"(+/- 3346 )",1609,"(+/- 616 )",28232,"(+/- 2652 )",11261,"(+/- 1717 )",13608,"(+/- 1485 )",5180,"(+/- 957 )",5662,"(+/- 1113 )",2759,"(+/- 821 )",1244,"(+/- 446 )",6718,"(+/- 1366 )",9493,"(+/- 1748 )",3744,"(+/- 828 )",1220,"(+/- 579 )",32099,"(+/- 3048 )",22489,"(+/- 2913 )",10448,"(+/- 1445 )",28239,"(+/- 2281 )",38461,"(+/- 3487 )",27115,"(+/- 2249 )",5643,"(+/- 977 )",2197,"(+/- 654 )",2098,"(+/- 796 )",3977,"(+/- 905 )",14128,"(+/- 1842 )",22081,"(+/- 2051 )",1482,"(+/- 661 )",1816,"(+/- 693 )",3156,"(+/- 965 )",3396,"(+/- 671 )"
Housing,Value,"$1,000,000 or more",1915,"(+/- 899 )",4289,"(+/- 913 )",4799,"(+/- 1006 )",1898,"(+/- 605 )",2227,"(+/- 703 )",471,"(+/- 275 )",17244,"(+/- 1466 )",6178,"(+/- 1946 )",913,"(+/- 476 )",5255,"(+/- 1050 )",2952,"(+/- 845 )",2004,"(+/- 536 )",706,"(+/- 322 )",1196,"(+/- 792 )",467,"(+/- 280 )",370,"(+/- 259 )",1545,"(+/- 869 )",2318,"(+/- 723 )",424,"(+/- 284 )",277,"(+/- 178 )",9946,"(+/- 1425 )",2481,"(+/- 1033 )",1687,"(+/- 630 )",5548,"(+/- 1032 )",10806,"(+/- 1921 )",2852,"(+/- 933 )",1480,"(+/- 840 )",836,"(+/- 475 )",797,"(+/- 929 )",836,"(+/- 305 )",681,"(+/- 327 )",14342,"(+/- 1260 )",680,"(+/- 523 )",243,"(+/- 211 )",840,"(+/- 450 )",1318,"(+/- 791 )"
Housing,Value,"Median (dollars)",142000,"(+/- 6541 )",240900,"(+/- 5834 )",365700,"(+/- 4458 )",168900,"(+/- 4056 )",171600,"(+/- 4906 )",222800,"(+/- 4091 )",270800,"(+/- 8959 )",235000,"(+/- 8207 )",161500,"(+/- 4337 )",267700,"(+/- 6599 )",164700,"(+/- 5454 )",229800,"(+/- 4603 )",128900,"(+/- 6291 )",180000,"(+/- 6711 )",113500,"(+/- 5260 )",133300,"(+/- 4015 )",199300,"(+/- 6482 )",160900,"(+/- 4333 )",127100,"(+/- 4560 )",165500,"(+/- 3985 )",325600,"(+/- 7795 )",289200,"(+/- 7224 )",158000,"(+/- 6784 )",327700,"(+/- 8858 )",290100,"(+/- 10338 )",302400,"(+/- 7055 )",151000,"(+/- 4716 )",140900,"(+/- 6432 )",133000,"(+/- 5495 )",169200,"(+/- 4745 )",259900,"(+/- 5303 )",285900,"(+/- 5768 )",139400,"(+/- 6641 )",86500,"(+/- 3305 )",184800,"(+/- 4751 )",158600,"(+/- 4287 )"
